,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
0,0.0,0.0,0.0,0.2,0.2,0.5,2.0,1.7,16.1,22.0,11.9,45.4,58.6,35.2,52.0,1.65,1.45,MH,4,MH
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,10.3,23.4,14.3,50.9,70.0,39.1,77.5,1.5,2.118,MH,4,MH
2,0.0,5.2,7.4,18.5,15.4,15.3,7.5,2.3,4.3,5.4,3.6,15.1,32.4,17.3,18.5,2.08,0.534,SC,13,SC
3,0.0,0.0,0.8,2.3,3.6,6.7,27.2,6.9,10.7,9.0,7.9,24.9,30.2,18.4,22.6,2.01,0.652,s(CL),2,SC
4,0.0,0.0,0.0,0.0,1.3,23.3,34.2,4.9,10.4,6.4,3.4,16.1,26.1,17.4,23.0,2.02,0.646,SC,2,SC
5,0.0,0.0,0.0,0.0,4.8,40.5,28.0,2.9,7.2,3.8,4.7,8.1,0.0,0.0,18.7,2.08,0.531,SM,6,SM
6,0.0,0.0,0.3,0.3,9.7,50.3,17.6,1.7,5.1,3.8,4.5,6.7,0.0,0.0,19.8,2.03,0.58,SM,9,SM
7,0.0,0.0,0.0,0.0,2.3,31.5,40.3,2.7,5.1,6.4,4.0,7.7,0.0,0.0,19.0,2.05,0.558,SM,6,SM
8,0.0,0.0,0.0,0.0,12.0,45.3,18.9,2.3,5.5,4.8,4.7,6.5,0.0,0.0,19.8,2.04,0.571,SM,9,SM
9,0.0,5.1,5.4,24.2,31.4,15.5,5.6,1.1,1.4,2.9,1.8,5.6,0.0,0.0,15.6,2.12,0.459,SP-SM,3,SM
10,0.0,0.0,0.0,1.7,17.1,41.0,18.9,2.1,5.7,2.9,3.6,7.0,0.0,0.0,18.2,2.07,0.526,SM,0,SM
11,0.0,0.0,0.0,0.8,10.4,41.4,21.1,4.6,6.3,3.8,3.8,7.8,0.0,0.0,20.6,2.03,0.595,SM,9,SM
12,0.0,0.0,0.0,0.3,9.7,49.5,13.1,2.2,6.4,5.5,5.8,7.5,0.0,0.0,17.4,2.1,0.492,SM,9,SM
13,0.0,0.6,0.8,4.8,42.6,25.7,8.8,1.6,3.6,3.2,3.3,5.0,0.0,0.0,15.7,2.12,0.459,SM,0,SM
14,0.0,0.0,0.0,0.3,8.0,51.5,20.6,2.2,5.2,3.2,3.4,5.6,0.0,0.0,16.9,2.1,0.483,SM,0,SM
15,0.0,1.1,2.1,4.3,17.1,34.8,21.6,2.2,3.4,3.4,2.9,7.1,0.0,0.0,18.1,2.07,0.526,SM,0,SM
16,0.0,0.0,2.8,1.5,3.8,13.4,47.7,7.3,5.8,5.4,5.2,7.1,0.0,0.0,18.5,2.05,0.543,SM,5,SM
17,0.0,0.0,0.3,4.1,8.9,38.4,31.4,2.3,4.5,2.1,3.0,5.0,0.0,0.0,17.4,2.08,0.508,SM,6,SM
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.3,14.2,14.4,63.1,64.8,26.8,21.3,2.06,0.612,CH,12,CH
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.3,24.6,11.9,49.7,60.9,27.1,20.2,2.07,0.593,CH,1,CH
20,0.0,0.0,0.0,0.7,0.2,0.4,1.1,1.3,10.3,18.3,11.6,56.1,62.2,23.6,19.5,2.1,0.557,CH,12,CH
21,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.5,8.0,17.8,12.6,59.7,55.7,23.8,21.4,2.04,0.631,CH,12,CH
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.7,31.5,13.8,45.2,59.0,28.3,21.6,2.06,0.621,CH,1,CH
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,11.4,11.9,72.9,78.9,33.0,25.1,2.0,0.713,CH,12,CH
24,0.0,0.0,1.0,0.4,1.4,5.4,8.0,4.4,15.3,13.7,7.8,42.6,51.3,21.8,20.6,2.07,0.593,(CH)s,1,CH
25,0.0,0.0,0.0,0.7,0.4,2.7,5.3,2.7,13.4,17.7,11.9,45.2,57.4,25.7,19.4,2.08,0.575,CH,1,CH
26,0.0,0.0,0.0,1.8,16.4,35.6,12.5,2.7,7.7,7.7,4.5,11.1,32.8,20.9,20.7,2.03,0.601,SC,13,SC
27,0.0,0.0,0.0,0.0,8.2,43.3,15.8,2.1,8.3,5.0,3.9,13.4,36.7,21.9,23.6,2.0,0.66,SC,13,SC
28,0.0,1.1,3.4,15.5,30.6,24.6,8.4,2.3,3.5,2.6,3.1,4.9,0.0,0.0,15.6,2.14,0.449,SM,0,SM
29,0.0,0.0,0.0,0.7,11.3,48.3,18.7,2.7,5.3,4.4,3.4,5.2,0.0,0.0,17.4,2.09,0.506,SM,0,SM
30,0.0,0.0,0.0,4.1,27.8,35.0,12.3,2.5,6.0,4.2,3.2,4.9,0.0,0.0,15.7,2.13,0.457,SM,0,SM
31,0.0,0.0,0.0,11.2,46.2,12.9,7.5,2.9,4.9,5.3,3.0,6.1,0.0,0.0,16.8,2.09,0.492,SM,0,SM
32,0.0,12.8,5.3,12.5,24.3,22.5,8.4,1.6,2.8,3.6,2.5,3.7,0.0,0.0,16.0,2.12,0.459,SM,11,SM
33,0.0,0.0,0.0,0.5,1.5,14.8,54.6,6.0,7.5,4.5,2.9,7.7,0.0,0.0,16.2,2.11,0.489,SM,5,SM
34,0.0,0.0,0.4,4.9,13.4,35.2,24.2,2.7,4.1,5.8,3.0,6.3,0.0,0.0,17.0,2.1,0.497,SM,0,SM
35,0.0,0.4,1.2,2.4,32.2,25.7,19.3,5.0,6.3,2.6,2.4,2.5,0.0,0.0,18.2,2.07,0.526,SM,0,SM
36,0.0,0.8,3.7,20.6,21.8,16.7,12.0,3.1,7.4,5.2,2.7,6.0,0.0,0.0,15.1,2.14,0.441,SM,0,SM
37,0.0,0.0,0.3,6.4,21.9,33.4,15.2,2.6,3.3,6.0,4.0,6.9,0.0,0.0,17.6,2.07,0.517,SM,0,SM
38,0.0,27.0,15.1,21.1,9.3,5.2,5.7,2.2,4.5,3.2,1.5,5.2,0.0,0.0,15.6,2.13,0.451,(SM)g,14,(SM)g
39,0.0,11.9,11.1,25.3,22.3,7.2,5.8,2.0,3.6,4.6,2.5,3.7,0.0,0.0,14.7,2.14,0.428,SM,7,SM
40,0.0,0.0,1.5,32.5,26.4,7.9,7.7,3.1,6.9,5.6,3.0,5.4,0.0,0.0,16.9,2.11,0.483,SM,3,SM
