,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,KMEANS_PRED,KMEANS_GROUP
0,0,0,0,0,0,0.5,1.2,50.8,20.8,8.1,18.6,49.4,30.3,56.2,1.62,1.577,ML,2,ML
1,0,0,0,0,0.6,1.4,2.8,35.9,23.9,8.5,26.9,65.8,35.6,68.9,1.56,1.902,MH,3,MH
2,0,0,0,0,1.2,2.8,2.8,16.8,21.8,12.4,42.2,89.1,44,80.3,1.52,2.179,MH,3,MH
3,0,0,0,0,0,1.2,2.4,26.5,23.3,9.2,37.4,81,40.9,79.8,1.5,2.217,MH,3,MH
4,0,0,0,0,0.6,2.9,0.9,15.1,25,13.5,42,83.4,41.9,80.1,1.5,2.229,MH,4,MH
5,0,0,1.1,7.7,35.5,21.2,2.6,7.6,4.9,4.8,14.6,30.7,20.1,26.7,1.94,0.758,SC,1,SM
6,0,0,0,0,0,0,1.1,16.7,25,11.4,45.8,85.3,44.4,69.7,1.54,1.945,MH,4,MH
7,0,0,0,0,0,0,0.3,11.7,26.9,13.1,48,81.5,41.5,68.4,1.55,1.913,MH,4,MH
8,0,0,0,0,0,0,0.6,12.8,25.7,13.4,47.5,80.5,43.1,67.9,1.56,1.882,MH,4,MH
9,0,0,0,0,0,0.6,0.6,13.3,29.3,12.8,43.4,77.7,41.6,65.7,1.59,1.792,MH,4,MH
10,0,0,0,0,0,0,0.3,16.1,27.2,15.2,41.2,78.7,45,66.8,1.57,1.851,MH,4,MH
11,0,0,0,0,0,0,0.9,18.6,28.2,10.9,41.4,77.4,45.9,67.9,1.55,1.913,MH,4,MH
12,0,0,0,0,0,0.6,1.1,19,28.1,13.2,38,70.5,41.1,60.6,1.61,1.67,MH,4,MH
13,31.1,11.1,9.2,9.8,7.1,6.5,2,6.9,4.9,3.3,8.1,0,0,15,2.17,0.418,(SM)g,5,SM
14,0.6,3.5,18.6,24.4,22.7,10,1.8,6.2,3.6,3.3,5.3,0,0,16.3,2.1,0.475,SM,5,SM
15,0,0,0,0,0,0,0.3,11.3,28.5,13.5,46.4,79.1,41.3,81.4,1.48,2.293,MH,4,MH
16,0,0,0,0,0,1.3,1.9,19.5,26.2,12,39.1,83.9,39.5,90.8,1.45,2.5,MH,3,MH
17,0,0,0,0,0,0.9,1.7,23.5,22.9,11.4,39.6,78.8,39.3,80,1.5,2.217,MH,3,MH
18,0,0,0,0,0,0,0.6,21.7,24.2,13,40.5,87.7,43.3,84.7,1.47,2.338,MH,3,MH
19,0,0,1.8,3.4,7.9,22.1,5.1,12,12.7,7.7,27.3,52.8,27.7,49.2,1.69,1.372,s(CH),2,ML
20,0,0.3,0.8,9.5,49,25.4,2.2,3,2.6,2.4,4.8,0,0,27.8,1.89,0.804,SM,1,SM
21,0,0,0,0,0,0.6,0.9,10.1,24,16.4,48,81.4,43,70.1,1.54,1.956,MH,4,MH
22,0,0,0,0,0,0,0.3,12,28.9,15,43.8,80.2,41.5,69.5,1.56,1.913,MH,4,MH
23,0,0,0,0,0,0,0.3,13.5,24.3,15.9,46,74.6,40.4,63,1.58,1.773,MH,4,MH
24,0,0,0,0,0,0,0.7,9.9,25.3,14.3,49.8,77.5,39.2,65.8,1.55,1.892,MH,4,MH
25,0,0,0,0,0,0.6,1.4,18.3,27.6,12.7,39.4,73.7,43.4,63.6,1.55,1.821,MH,4,MH
26,0,0,0,0.5,0.7,15.6,18.9,29.1,9.6,5.9,19.7,41.4,25.2,35.4,1.8,1.023,s(CL),2,ML
27,0,0,3.9,5.9,33.7,34,3.9,6.5,4.8,2.6,4.7,0,0,18.1,2.05,0.534,SM,1,SM
28,0,0,0,0,0.7,1.2,1.4,22.4,27.2,12.5,34.6,58.1,27.8,22.8,2.01,0.665,CH,0,CH
29,0,0,0,0.5,0.9,4.1,4.6,30.2,21.5,6.9,31.3,51.9,26.6,29.7,1.92,0.838,CH,0,CH
30,0,0,0,0,0,0.4,3.5,64,15.1,4,13,44.4,33.5,41.4,1.77,1.136,ML,2,ML
31,0,0,0,0.3,0.3,1.2,3,24.1,19.6,12.1,39.4,76.6,37,77.6,1.51,2.141,MH,3,MH
32,0,0,0,0,0,0.6,1.8,22.8,21.6,10.1,43.1,74.2,39.2,75.8,1.52,2.105,MH,3,MH
33,0,0,0,0,0,0,0.3,13.6,30.6,14.8,40.7,89,43.8,86.7,1.48,2.367,MH,4,MH
34,0,0,0.9,0.9,1.7,8.6,4.9,20.7,19.2,9.6,33.5,90,43.9,78.3,1.5,2.179,(MH)s,3,MH
35,0,0,0,0.9,2.6,6,2.3,16.4,17,14.2,40.6,81.9,42.1,73.3,1.53,2.045,MH,3,MH
36,0,0,0,0,0,0,0.6,13.3,25.6,15.7,44.8,83.8,41.6,69.7,1.56,1.913,MH,4,MH
37,0,0,0,0,0,0,0.3,9.7,25.5,12.9,51.6,83.1,42.7,71,1.54,1.989,MH,4,MH
38,0,0,0,0,0,0,0.9,13,22.9,17.2,46,81.6,40.6,68.6,1.55,1.913,MH,4,MH
39,0,0,0,0,0,0.9,0.6,14.6,21.2,13.2,49.5,80.9,41.4,65.9,1.56,1.862,MH,4,MH
40,0,0,0,0,0,0,1,14.5,26.5,17.2,40.8,82.8,45.3,70.2,1.55,1.934,MH,4,MH
41,0,0,0,0,0,0.8,1.3,20.7,24.5,11.2,41.5,79.5,41.5,64.4,1.6,1.753,MH,4,MH
42,0,0,0,0.9,1.3,20.5,18,28.4,8,4.4,18.5,36,23,31,1.86,0.894,s(CL),2,ML
43,0,0,0,0.4,0.2,8.4,5.3,27,16,7.3,35.4,50.3,26.6,17,2.14,0.492,CH,0,CH
44,0,0,0,0,0.5,0.7,2.2,30.4,24.7,9.8,31.7,51.5,25,27,1.96,0.773,CH,0,CH
45,0,0,3.2,19,29.3,26.6,3.1,7.3,4.5,2.7,4.3,0,0,19,2.06,0.543,SM,1,SM
46,0,0,1.2,28.2,14.8,10.8,4.3,17.7,9.7,4.6,8.7,0,0,18.8,2.08,0.531,SM,5,SM
47,0.3,4.1,21.7,28.5,24.1,8,1.6,4.1,3.4,1.6,2.6,0,0,16.1,2.11,0.467,SP-SM,5,SM
48,0,0,0,0.8,0.3,2.9,9.5,55.8,12.7,4,14,43.6,33.8,40.6,1.75,1.161,ML,2,ML
49,0,0,0,0,0,2,3.6,31.8,16.4,10.5,35.7,71.9,37.2,70.9,1.53,1.967,MH,3,MH
50,0,0,0,0,0,1.1,2.3,24.9,24.7,11.7,35.3,77.4,37.6,73.7,1.52,2.034,MH,3,MH
51,0,0,0,0,0.9,0.9,1.7,20.3,24.3,11.9,40,90.3,42,89,1.48,2.436,MH,3,MH
52,0,0,0,0,0.8,4.2,3.1,18.6,18.2,9.8,45.3,72.6,36.6,71.9,1.54,1.989,MH,3,MH
53,0,0,0,0,0,0.6,0.6,13.8,24.4,14.5,46.1,86.7,43.7,78.3,1.52,2.153,MH,4,MH
54,0,0,0,0,0,0,0.3,11.3,26.2,13.1,49.1,84.9,40.6,75,1.53,2.057,MH,4,MH
55,0,0,0,0,0,0,0.3,13.4,24.3,13.2,48.8,85.1,41.8,70.2,1.55,1.954,MH,4,MH
56,0,0,0,0,0,0,0.3,17.9,29.7,15.5,36.6,82.1,43.5,71,1.54,1.967,MH,4,MH
57,0,0,0,0,0,0,0.3,18.5,23.3,13.4,44.5,84.8,45.1,69.5,1.56,1.913,MH,4,MH
58,0,0,0,0,0,0.8,1.1,19.3,23.3,11.4,44.1,82,46.3,70.1,1.55,1.945,MH,4,MH
59,0,0,2.5,5.8,17.3,31.6,9.4,15.2,6.1,4.2,7.9,0,0,23.9,1.98,0.675,SM,1,SM
60,0,0,0,0.9,17.6,60.3,2.9,6,4.9,2.8,4.6,0,0,17.5,2.08,0.508,SM,1,SM
61,0,0,0,1.8,23.2,54.2,3.9,5.7,3.7,2.3,5.2,0,0,19,2.08,0.526,SM,1,SM
62,0,0,0,0,0,0,0.5,15.4,37.6,16.8,29.7,52.6,26.9,24.4,2.01,0.691,CH,0,CH
63,0,0,0,0,0.4,1.3,2.8,31.9,25.1,9.6,28.9,51.3,26.2,30.5,1.88,0.84,CH,0,CH
64,0,1.1,4.3,27.5,27.8,16.7,3.2,4.6,5.4,4,5.4,0,0,16.2,2.1,0.475,SM,5,SM
65,0,0,2.4,33.2,33,10.4,1.9,5.5,5.1,2.8,5.7,0,0,15.8,2.12,0.459,SM,5,SM
66,0,0,0,0,0,0.7,2.2,54.8,17.3,7.2,17.8,47.2,28.4,49.6,1.68,1.393,ML,2,ML
67,0,0,0,0,0,1.8,5.2,35.1,17.1,5.9,34.9,66.9,34.1,69.4,1.52,1.967,MH,3,MH
68,0,0,0,0,0,0.9,1.2,22.5,24.4,11.1,39.9,79.5,39.2,80.6,1.5,2.229,MH,3,MH
69,0,0,0,0,0.7,1,1.4,18.9,24.7,13.1,40.2,82,39.6,85.4,1.47,2.392,MH,3,MH
70,0,0,0,0,0.7,5.9,4.9,16.7,20.5,12.6,38.7,81,41,77.3,1.51,2.141,MH,3,MH
71,0,0,0,0,0,0.9,0.9,13.1,28.8,11.5,44.8,78.2,39.3,75,1.5,2.116,MH,4,MH
72,0,0,0,0,0,0,0.3,11.4,20.7,17,50.6,77.7,41.7,73.7,1.52,2.045,MH,4,MH
73,0,0,0,0,0,0,0.6,12.1,24.9,13.1,49.3,81.1,40.1,70.5,1.53,1.978,MH,4,MH
