,CO1,GR3,GR2,GR1,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL1,PL,LL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,MEANSHIFT_PRED,MEANSHIFT_GROUP
0,0,0,0,0,0,0,0,2,10.6,40.7,10.2,36.5,33.7,50,55.4,1.65,1.528,Pt2,0,CH6
1,0,0,0,0,0,2.9,9.7,25.4,15,17.8,3.4,25.8,20.8,30.1,26.1,1.95,0.742,CL3,4,CL3
2,0,0,0,0,0,0.6,5.7,15.8,17.9,23.1,7,29.9,20.5,30.8,27.2,1.96,0.76,CL3,4,CL3
3,0,0,0,0,0,0.3,7.4,22.8,17.5,20.9,5.7,25.4,17,26.5,22.8,2,0.656,CL3,4,CL3
4,0,0,0,0,0,2,17.8,44.5,9.7,8.9,3.4,13.7,17.3,23.6,19.5,2.04,0.573,SC2,2,SC2
5,0,0,0,0,1.9,4.7,16.6,38.2,12.9,9.7,2.9,13.1,17.1,22.2,18.5,2.05,0.549,SC2,2,SC2
6,0,0,0,0,2.2,5.2,17.8,39.4,11.3,7.1,2.6,14.4,18.2,23.6,20.2,2.06,0.567,SC2,2,SC2
7,0,0,0,3.9,8.7,10.3,17.5,30.9,6.6,6.7,1.8,13.6,18,22.4,17.1,2.07,0.514,SC2,3,SM3
8,0,0,0,0.9,4.9,17.6,20.2,27.6,7,6.5,2.2,13.1,19.4,23.2,21.2,2.02,0.605,SC2,3,SM3
9,0,0,0,0,2,4,26.4,34.4,10.6,7.4,1.9,13.3,18.1,21.8,19,2.05,0.558,SC2,2,SC2
10,0,0,0,0.7,4.9,19.6,15.2,38.6,7.5,5,1.6,6.9,0,0,18.4,2.05,0.543,SM2,3,SM3
11,0,0,2.7,14.1,17.3,10.1,16.3,21.3,6,4.8,2.2,5.2,0,0,17.5,2.1,0.492,SM3,6,SM3
12,0,0,0,1.2,2.2,11.8,22,44,7,4.7,1.5,5.6,0,0,17.2,2.05,0.526,SM2,3,SM3
13,0,0,0,0.9,6.2,11.8,32.9,30.4,6.6,3.7,2,5.5,0,0,16.9,2.07,0.508,SM3,3,SM3
14,0,0,0,1.2,4.9,13.8,25.4,36,7.4,3.8,2.4,5.1,0,0,17.8,2.06,0.526,SM2,3,SM3
15,0,0,0,0,1.1,2.2,1.9,6.7,6.6,14.9,5.3,61.3,24.2,42.6,20.1,2.1,0.566,CH6,0,CH6
16,0,0,0,0,0,0,0.3,4.5,4.6,18.4,10.1,62.1,30.5,49.5,20.7,2.06,0.602,CH6,0,CH6
17,0,0,0,0,0,0,0.2,4,4.2,16.2,6.4,69,30.2,51.2,21.8,2.07,0.612,CH6,0,CH6
18,0,0,0,0,0,0.4,0.7,4.4,7.7,23.9,7.2,55.7,18.7,36.9,18.4,2.1,0.537,CH6,0,CH6
19,0,0,0,0,0.5,4.9,21,34.5,11.1,9.4,4.6,14,17.3,22.1,19.3,2.05,0.558,SC2,2,SC2
20,0,0,0,0,0,1,0.4,8.1,13.2,30.1,8.2,39,32.6,56.3,79.8,1.45,2.272,Pt1,1,Pt1
21,0,0,0,0,0,0,0.6,4.2,7.4,23.9,10.3,53.6,36.2,61.2,88.9,1.47,2.41,Pt1,1,Pt1
22,0,0,0,0,0,0,0,1.6,6,25.2,9,58.2,38.3,66.6,82,1.51,2.181,Pt1,1,Pt1
23,0,0,0,0,0,0,0,0.2,4.8,28.7,14.1,52.2,37.8,64.8,85.6,1.49,2.313,Pt1,1,Pt1
24,0,0,0,0,0,0,0,0.4,3.5,25.1,13.5,57.5,41.5,71.5,90.5,1.47,2.442,Pt1,1,Pt1
25,0,0,0,0,0,0,0,0.6,4.4,27.7,11.2,56.1,42.4,68.7,92,1.46,2.474,Pt1,1,Pt1
